Model,Split,Client,Acc_with_all,Acc_without_client,Contribution
tinycnn,Label_skew,0,0.712121212121212,0.7268181818181819,-0.014696969696969875
tinycnn,Label_skew,1,0.712121212121212,0.7354545454545455,-0.023333333333333428
tinycnn,Label_skew,2,0.712121212121212,0.6872727272727274,0.024848484848484675
tinycnn,Concept_shift,0,0.6978787878787878,0.7154545454545457,-0.01757575757575791
tinycnn,Concept_shift,1,0.6978787878787878,0.7618181818181817,-0.06393939393939396
tinycnn,Concept_shift,2,0.6978787878787878,0.6777272727272726,0.020151515151515142
tinycnn,Feature_skew,0,0.7090909090909091,0.6259090909090909,0.08318181818181825
tinycnn,Feature_skew,1,0.7090909090909091,0.7536363636363635,-0.044545454545454444
tinycnn,Feature_skew,2,0.7090909090909091,0.6922727272727273,0.016818181818181843
tinycnn,Pathological,0,0.972213832678949,0.9090909090909091,0.06312292358803995
tinycnn,Pathological,1,0.972213832678949,0.974444909928781,-0.0022310772498319587
tinycnn,Pathological,2,0.972213832678949,0.9706744868035191,0.0015393458754299205
tinycnn,Quantity_skew,0,0.739090909090909,0.6981818181818181,0.040909090909090895
tinycnn,Quantity_skew,1,0.739090909090909,0.7186363636363635,0.020454545454545503
tinycnn,Quantity_skew,2,0.739090909090909,0.7096969696969697,0.029393939393939306
tinycnn,IID_equal,0,0.7100000000000001,0.7218181818181818,-0.011818181818181728
tinycnn,IID_equal,1,0.7100000000000001,0.7122727272727273,-0.002272727272727204
tinycnn,IID_equal,2,0.7100000000000001,0.7095454545454545,0.00045454545454559625
tinycnn,Dirichlet_label,0,0.549407114624506,0.5315221177290143,0.017884996895491723
tinycnn,Dirichlet_label,1,0.549407114624506,0.7717497556207232,-0.22234264099621726
tinycnn,Dirichlet_label,2,0.549407114624506,0.7152317880794702,-0.1658246734549642
simplecnn,Label_skew,0,0.5312121212121211,0.5672727272727273,-0.036060606060606126
simplecnn,Label_skew,1,0.5312121212121211,0.505909090909091,0.02530303030303016
