round,loss,accuracy
0,1.0988858079910278,0.21
1,1.2076959323883056,0.5
2,1.2759478640556337,0.5
3,1.243572828769684,0.5
4,1.503961856365204,0.5
5,2.441843295097351,0.5
6,1.1298324847221375,0.55
7,0.5624778270721436,0.78
8,0.7723522472381592,0.73
9,0.628291848897934,0.8
10,0.7810250854492188,0.72
0,1.0988858079910278,0.21
1,1.3945668506622315,0.5
2,1.5078863072395325,0.5
3,1.522136161327362,0.5
4,2.3244112730026245,0.5
5,3.1765916204452513,0.5
6,1.8835524320602417,0.5
7,0.6561842918395996,0.72
8,0.5161482882499695,0.79
9,0.8075425815582276,0.69
10,0.4393453025817871,0.82
0,1.0988858079910278,0.21
1,1.2120307350158692,0.5
2,1.3699048900604247,0.5
3,1.5067007803916932,0.5
4,1.783645555973053,0.5
5,3.3189133405685425,0.5
6,2.9275368094444274,0.51
7,0.7955388998985291,0.71
8,1.154487180709839,0.7
9,1.64502986907959,0.59
10,1.3857190275192262,0.64
0,1.0988858079910278,0.21
1,1.1727918004989624,0.5
2,1.246249599456787,0.5
3,1.1964496636390687,0.5
4,1.823342001438141,0.5
5,3.7573710680007935,0.5
6,0.9593607473373413,0.64
7,0.39475581169128415,0.85
8,0.7025032138824463,0.78
9,0.6611452221870422,0.76
10,0.7792620992660523,0.71
