round,loss,accuracy
0,1.0967932510375977,0.38
1,1.3550840377807618,0.4
2,1.3091526412963868,0.4
3,1.4049507141113282,0.4
4,2.2262769317626954,0.4
5,3.0263036346435546,0.4
6,0.7198471260070801,0.72
7,0.4855481243133545,0.76
8,0.35600675582885744,0.82
9,0.36816571235656737,0.82
10,0.6231587028503418,0.74
0,1.0949933242797851,0.38
1,1.5487757110595703,0.4
2,1.6779778289794922,0.4
3,1.445719337463379,0.4
4,1.8003767395019532,0.4
5,2.229022216796875,0.4
6,1.5834067535400391,0.6
7,0.946429786682129,0.76
8,0.7179299545288086,0.8
9,1.2110814666748047,0.62
10,0.4924588203430176,0.8
0,1.0959365844726563,0.4
1,1.46321720123291,0.4
2,1.2953275299072267,0.4
3,1.7611602020263672,0.4
4,2.845564880371094,0.4
5,3.167288055419922,0.4
6,2.115223617553711,0.56
7,1.5060028839111328,0.66
8,0.3881132984161377,0.9
9,0.41698393821716306,0.9
10,0.44336551666259766,0.84
0,1.1031887435913086,0.22
1,1.3964920043945312,0.4
2,1.3037624740600586,0.4
3,1.4970501708984374,0.4
4,1.5175071334838868,0.4
5,1.6194243621826172,0.4
6,2.1124759674072267,0.4
7,1.5591465377807616,0.52
8,0.4861406707763672,0.76
9,0.6866968345642089,0.7
10,1.359228630065918,0.58
