round,loss,accuracy
0,1.1988802289962768,0.21
1,10.788490810394286,0.5
2,6.093621730804443,0.5
3,1.1681822991371156,0.63
4,1.1799392557144166,0.59
5,1.0948969626426697,0.61
6,0.997776311635971,0.73
7,0.7161359000205993,0.76
8,0.5572071743011474,0.77
9,0.6917503786087036,0.77
10,0.5720591533184052,0.81
0,1.1988802289962768,0.21
1,2.4829562091827393,0.5
2,3.8174161100387574,0.5
3,2.9366003847122193,0.5
4,0.6959115678071975,0.76
5,0.9232370710372925,0.71
6,2.029102153778076,0.47
7,1.2805982518196106,0.66
8,0.42876709580421446,0.84
9,0.4365235352516174,0.81
10,2.3184166431427,0.49
0,1.1988802289962768,0.21
1,6.387549905776978,0.5
2,4.663779840469361,0.5
3,2.8626391172409056,0.51
4,0.46200663566589356,0.83
5,1.386436858177185,0.6
6,0.4304380226135254,0.82
7,0.5246562719345093,0.78
8,2.3624329662322996,0.42
9,1.4071236562728882,0.66
10,2.3892298126220703,0.49
0,1.1988802289962768,0.21
1,3.2755093288421633,0.5
2,3.441434280872345,0.51
3,9.51962589263916,0.5
4,0.6697558331489563,0.7
5,0.5921118521690368,0.76
6,1.7446591091156005,0.54
7,0.655781911611557,0.74
8,0.9613059091567994,0.65
9,0.35055925011634825,0.87
10,1.453550500869751,0.53
