round,loss,accuracy
0,1.0962666606903075,0.23
1,1.07513254404068,0.5
2,3.4307847738265993,0.5
3,2.8042873191833495,0.5
4,1.241254242658615,0.54
5,0.8775517094135284,0.6
6,1.065826847553253,0.54
7,0.6340134227275849,0.71
8,0.7846489012241363,0.65
9,0.5625911796092987,0.72
10,0.676874695122242,0.71
0,1.0962666606903075,0.23
1,1.0482541823387146,0.5
2,3.7588041830062866,0.5
3,3.1149770736694338,0.5
4,1.8312219166755677,0.52
5,1.5949201369285584,0.5
6,2.056668345928192,0.5
7,0.9514046812057495,0.59
8,0.561017079949379,0.75
9,1.0181577682495118,0.54
10,0.5407532218098641,0.77
0,1.0962666606903075,0.23
1,1.0418272614479065,0.5
2,3.554819941520691,0.5
3,3.7161164712905883,0.5
4,2.0577426600456237,0.51
5,1.8720114541053772,0.52
6,0.806609143614769,0.63
7,2.5908244037628174,0.51
8,0.9010853004455567,0.62
9,1.0519743084907531,0.55
10,0.6258343720436096,0.69
0,1.0838272094726562,0.5
1,1.2170283460617066,0.5
2,4.127223787307739,0.5
3,4.283426303863525,0.5
4,2.1260968708992003,0.51
5,3.3359702157974245,0.5
6,0.7525589370727539,0.64
7,0.9716097247600556,0.56
8,2.0808703899383545,0.3
9,1.0731759548187256,0.51
10,0.8894159221649169,0.61
0,1.0962666606903075,0.23
1,1.0430114960670471,0.5
2,3.207066812515259,0.5
3,3.332445888519287,0.5
4,2.2824572277069093,0.5
5,0.8915122270584106,0.53
6,0.6340791112184525,0.69
7,0.832357302904129,0.6
8,0.9578550922870636,0.59
9,0.6868173933029175,0.63
10,0.5085459041595459,0.8
0,1.0962666606903075,0.23
1,1.0565681457519531,0.5
2,3.6987608242034913,0.5
3,3.067062358856201,0.5
4,2.425036029815674,0.5
5,1.1457983422279359,0.53
6,0.681784816980362,0.68
7,2.26148407459259,0.52
8,2.5787939167022706,0.29
9,0.5389717125892639,0.77
10,0.5315230476856232,0.74
0,1.0962666606903075,0.23
1,1.042028603553772,0.5
2,3.284160966873169,0.5
3,2.731750235557556,0.5
4,2.817030305862427,0.5
5,0.8889954948425293,0.61
6,0.6952444469928741,0.65
7,0.6453887486457824,0.68
8,0.875870807170868,0.64
9,0.5718378591537475,0.72
10,0.594448266029358,0.73
