round,loss,accuracy
0,1.097445421218872,0.21
1,1.0558572602272034,0.5
2,3.5367674016952515,0.5
3,2.856534173488617,0.5
4,2.9158482193946837,0.5
5,1.0118339300155639,0.54
6,1.1073582923412324,0.51
7,0.6190984010696411,0.69
8,2.1988696575164797,0.5
9,1.112180061340332,0.5
10,1.2465448331832887,0.51
0,1.097445421218872,0.21
1,1.0875986742973327,0.5
2,3.9693042421340943,0.5
3,2.969914689064026,0.5
4,2.7720722937583924,0.5
5,1.4452853167057038,0.5
6,1.2314420700073243,0.51
7,0.7215699481964112,0.6
8,1.0453461194038391,0.54
9,0.758013846874237,0.72
10,0.5334893560409546,0.83
0,1.081982169151306,0.5
1,1.2204850125312805,0.5
2,3.7026696491241453,0.5
3,3.500316457748413,0.5
4,2.23167765378952,0.5
5,1.6805665874481202,0.5
6,1.200520442724228,0.51
7,0.6339037609100342,0.7
8,0.7579389667510986,0.65
9,0.6262354707717895,0.66
10,0.9104565763473511,0.59
0,1.097445421218872,0.21
1,1.043759536743164,0.5
2,3.3154974699020388,0.5
3,2.9066619348526,0.5
4,2.1453642201423646,0.5
5,1.8901055872440338,0.5
6,1.3515941667556763,0.51
7,0.875777907371521,0.48
8,0.5966392159461975,0.62
9,0.6621668386459351,0.72
10,1.0596260368824004,0.53
