round,loss,accuracy
0,1.032041277204241,1.0
1,0.3227371416593853,1.0
2,0.0002596323733757201,1.0
3,3.5852415773038763e-09,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.0701199689305814,0.0
1,0.4033393160741132,1.0
2,0.0008361860829636566,1.0
3,8.963103462441299e-09,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.0701199689305814,0.0
1,0.30267373601296793,1.0
2,0.0001847249441745138,1.0
3,8.963103943259691e-10,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.0701199689305814,0.0
1,0.2979279245649065,1.0
2,0.00016061887162548483,1.0
3,8.963103943259691e-10,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.0718253537228233,1.0
1,0.3314881584698096,1.0
2,0.00021981702298206045,1.0
3,3.0474549987929935e-08,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.100824108697418,0.0
1,0.5033620174666097,1.0
2,0.0009291069091934906,1.0
3,1.7926206818034064e-09,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.0701199689305814,0.0
1,0.3166448066109105,1.0
2,0.0002629196593411883,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
