round,loss,accuracy
0,1.1061630058288574,0.29
1,0.8894784235954285,0.56
2,0.8426927709579468,0.71
3,0.7003275632858277,0.72
4,0.7762915658950805,0.72
5,0.5968293690681458,0.78
6,0.6042920064926147,0.77
7,0.5363258862495422,0.79
8,0.5495855522155761,0.81
9,0.5058536195755005,0.78
10,0.5797996401786805,0.76
0,1.1061630058288574,0.29
1,0.8657436680793762,0.58
2,0.8396335649490356,0.69
3,0.7325758314132691,0.66
4,0.6649060988426209,0.74
5,0.6905368137359619,0.73
6,0.5615596842765808,0.79
7,0.5545807766914368,0.78
8,0.5547460103034973,0.76
9,0.523551230430603,0.75
10,0.5275975751876831,0.8
0,1.0826375770568848,0.35
1,1.0984790420532227,0.62
2,0.7726977276802063,0.78
3,0.6948635339736938,0.72
4,0.604898419380188,0.77
5,0.6141491150856018,0.76
6,0.5857176280021668,0.74
7,0.5438469648361206,0.78
8,0.5630394721031189,0.77
9,0.5231246566772461,0.79
10,0.5062439584732056,0.77
0,1.0826375770568848,0.35
1,0.9572676610946655,0.55
2,0.7985830473899841,0.68
3,0.717827570438385,0.7
4,0.6324512481689453,0.74
5,0.608348994255066,0.77
6,0.5578320717811585,0.74
7,0.5842100954055787,0.73
8,0.4989571452140808,0.79
9,0.5885533571243287,0.75
10,0.45849247932434084,0.76
