round,loss,accuracy
0,1.09909077167511,0.22
1,1.4313777422904967,0.47
2,1.6742742538452149,0.47
3,1.698093385696411,0.47
4,2.426703519821167,0.47
5,3.278150815963745,0.47
6,1.1985484647750855,0.58
7,0.5305462050437927,0.83
8,1.0590905928611756,0.68
9,0.6744383096694946,0.79
10,0.6043494129180909,0.75
0,1.09909077167511,0.22
1,1.3380145001411439,0.47
2,1.5797929644584656,0.47
3,1.8918208169937134,0.47
4,2.1143931913375855,0.47
5,2.9428142309188843,0.47
6,1.2982830727100372,0.54
7,0.5550991189479828,0.76
8,0.6295623111724854,0.79
9,0.879276852607727,0.74
10,0.937984642982483,0.73
0,1.0954468202590943,0.47
1,1.2916359519958496,0.47
2,1.2167229533195496,0.47
3,1.198408076763153,0.47
4,1.397517099380493,0.47
5,1.9835522842407227,0.47
6,0.734936146736145,0.65
7,0.6952330636978149,0.73
8,0.8443698406219482,0.77
9,0.5323656463623047,0.79
10,0.8590368056297302,0.79
0,1.097682271003723,0.31
1,1.3162810754776002,0.47
2,1.4432078528404235,0.47
3,1.333980255126953,0.47
4,1.5985340833663941,0.47
5,3.2114221096038817,0.47
6,0.8910732185840606,0.64
7,1.2563250589370727,0.67
8,1.076230421066284,0.71
9,0.6583006227016449,0.74
10,1.8933600997924804,0.59
0,1.09909077167511,0.22
1,1.4728850984573365,0.47
2,1.4625737905502318,0.47
3,1.6852742958068847,0.47
4,1.9824086761474609,0.47
5,2.9090054035186768,0.47
6,1.1123841381072999,0.56
7,0.6061002492904664,0.72
8,0.5806332206726075,0.8
9,0.6836831533908844,0.73
10,0.6123144698143005,0.78
0,1.09909077167511,0.22
1,1.3971915793418885,0.47
2,1.4127929043769836,0.47
3,1.400139138698578,0.47
4,2.084517951011658,0.47
5,3.5381382942199706,0.47
6,1.6390454244613648,0.53
7,0.5768724203109741,0.73
8,0.7100975227355957,0.73
9,0.5881301307678223,0.76
10,0.6074104404449463,0.76
0,1.097682271003723,0.31
1,1.2613781452178956,0.47
2,1.2771214413642884,0.47
3,1.1738627290725707,0.47
4,1.2441383838653564,0.47
5,4.077233190536499,0.47
6,1.2475856173038482,0.57
7,0.9612481355667114,0.72
8,1.9929690742492676,0.54
9,0.6449852561950684,0.73
10,0.6097473621368408,0.72
