round,loss,accuracy
0,1.116651421501523,0.0
1,0.019004406318778082,1.0
2,9.298280929215252e-06,1.0
3,1.1920928143029284e-07,1.0
4,2.3841856286058567e-07,1.0
5,2.440951848690193e-07,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.094817116146996,1.0
1,0.017864402206171127,1.0
2,2.4556814986724584e-05,1.0
3,5.960463394807275e-07,1.0
4,1.3113014921102496e-06,1.0
5,1.028889095150156e-06,1.0
6,2.838316248698902e-09,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.116651421501523,0.0
1,0.032177601541791646,1.0
2,2.3007129216455812e-05,1.0
3,2.3841856286058567e-07,1.0
4,2.3841856286058567e-07,1.0
5,2.3841856286058567e-07,1.0
6,2.3983772106952356e-07,1.0
7,3.1221477213096346e-08,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.1155023574829102,0.0
1,0.009130273901280902,1.0
2,4.6491513785440475e-06,1.0
3,0.0,1.0
4,1.1920928143029284e-07,1.0
5,8.798780218707439e-08,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.094817116146996,1.0
1,0.020682152538072495,1.0
2,2.0622992971246796e-05,1.0
3,4.7683712572117134e-07,1.0
4,1.2488585309169832e-06,1.0
5,2.1727289658017636e-06,1.0
6,6.386211263513057e-08,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.1102139836265927,0.0
1,0.045274872155416576,1.0
2,0.00010072675788597691,1.0
3,1.0728829346633228e-06,1.0
4,1.192092224214104e-06,1.0
5,1.5497194215727393e-06,1.0
6,1.3340079368347125e-06,1.0
7,2.2848445539802058e-07,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
0,1.1155023574829102,0.0
1,0.012286807454767682,1.0
2,3.933898846125452e-06,1.0
3,0.0,1.0
4,5.960464071514642e-08,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
