round,loss,accuracy
0,1.1758613586425781,0.25
1,5.240043230056763,0.47
2,1.8265967273712158,0.47
3,0.6704531073570251,0.72
4,0.8846071863174438,0.64
5,0.9230050230026245,0.67
6,0.8523186755180359,0.73
7,0.7504010319709777,0.73
8,0.6150947690010071,0.75
9,0.5901812255382538,0.78
10,1.0475717711448669,0.71
0,1.1480630016326905,0.25
1,3.5139231491088867,0.47
2,13.424194297790528,0.47
3,1.542691686153412,0.5
4,1.358421174287796,0.51
5,1.7025904607772828,0.54
6,0.4980542266368866,0.79
7,0.7239615416526795,0.72
8,1.5909964990615846,0.58
9,0.522049263715744,0.77
10,0.9873221978545189,0.7
0,1.0750153255462647,0.49
1,4.246103148460389,0.47
2,1.1061004638671874,0.61
3,1.3146961694955825,0.64
4,0.8979573941230774,0.71
5,0.7880099007487297,0.72
6,1.0195364940166474,0.68
7,1.879014859199524,0.53
8,1.2003337860107421,0.73
9,0.6527076089382171,0.73
10,1.122060351371765,0.67
0,1.1145594549179076,0.25
1,7.71548490524292,0.47
2,1.9090707445144652,0.47
3,5.831381254196167,0.47
4,1.4042519378662108,0.52
5,1.616223373413086,0.59
6,1.716236307621002,0.58
7,2.17186861038208,0.49
8,0.9259798645973205,0.72
9,1.6463165092468262,0.55
10,0.7317885169386864,0.72
0,1.116793851852417,0.25
1,4.704324493408203,0.47
2,1.9426895380020142,0.47
3,6.6151590919494625,0.47
4,2.04081711769104,0.46
5,0.6843079090118408,0.71
6,0.9769108128547669,0.63
7,0.5628419929742813,0.82
8,0.98131272315979,0.69
9,0.4383392357826233,0.8
10,0.6561557602882385,0.78
0,1.1758613586425781,0.25
1,4.108682546615601,0.47
2,54.0225373840332,0.47
3,3.927900059223175,0.48
4,1.8065821933746338,0.43
5,2.2419964981079104,0.4
6,0.9236984610557556,0.7
7,1.3580875039100646,0.63
8,0.4511136853694916,0.81
9,0.5983748549222946,0.8
10,0.7804514282941818,0.7
0,1.1758613586425781,0.25
1,4.633122682571411,0.47
2,3.656788716316223,0.47
3,1.395490713119507,0.51
4,3.886611976623535,0.4
5,0.5368753945827485,0.79
6,2.9857930994033812,0.5
7,0.4958570641279221,0.8
8,0.4070821976661682,0.82
9,0.6790930998325347,0.75
10,2.1755020332336428,0.46
