round,loss,accuracy
0,1.0966558980941772,0.25
1,1.0930834031105041,0.47
2,3.5078087997436525,0.47
3,3.3966272115707397,0.47
4,1.9052397871017457,0.47
5,1.8464347076416017,0.47
6,0.6979473948478698,0.71
7,0.6027759331464767,0.77
8,1.1841209435462952,0.51
9,0.5117700850963592,0.8
10,0.5438365435600281,0.72
0,1.0966558980941772,0.25
1,1.0843031001091004,0.47
2,3.8957920932769774,0.47
3,3.1716017150878906,0.47
4,2.8704582977294923,0.47
5,1.4617503738403321,0.48
6,0.6068626797199249,0.68
7,1.564144365787506,0.48
8,0.6116383665800095,0.77
9,1.0479852652549744,0.53
10,0.7200618302822113,0.64
0,1.0819341468811035,0.47
1,1.564999659061432,0.47
2,4.746664562225342,0.47
3,3.3736701822280883,0.47
4,1.8349085569381713,0.47
5,0.9690842664241791,0.49
6,1.1232872772216798,0.5
7,0.6133793115615844,0.64
8,2.4416954851150514,0.47
9,0.7919292336702347,0.6
10,0.9257991218566894,0.53
0,1.0966558980941772,0.25
1,1.138699700832367,0.47
2,3.5755806303024293,0.47
3,3.6134763526916505,0.47
4,3.538386764526367,0.47
5,1.9608812522888184,0.47
6,1.2101523494720459,0.49
7,0.7349028193950653,0.6
8,2.0163204193115236,0.47
9,0.6870344758033753,0.71
10,1.4949069023132324,0.49
0,1.0966558980941772,0.25
1,1.0730745577812195,0.47
2,3.5983073806762693,0.47
3,3.323272747993469,0.47
4,2.0135003328323364,0.47
5,1.5422510194778443,0.48
6,1.1655029010772706,0.54
7,0.7597934937477112,0.62
8,0.660452623963356,0.74
9,0.5421591627597809,0.69
10,1.7625089645385743,0.48
0,1.0966558980941772,0.25
1,1.0782922410964966,0.47
2,3.8543770503997803,0.47
3,3.5542836666107176,0.47
4,1.1307943606376647,0.48
5,1.1971203947067262,0.55
6,0.9819901633262634,0.53
7,1.1878656101226808,0.51
8,0.928781955242157,0.61
9,1.3056748497486115,0.53
10,0.7591802883148193,0.73
0,1.0966558980941772,0.25
1,1.0905858564376831,0.47
2,3.65728440284729,0.47
3,2.8807883787155153,0.47
4,2.4038428688049316,0.47
5,0.6867098665237427,0.7
6,0.6069446837902069,0.64
7,2.1176975631713866,0.48
8,0.7804134154319763,0.67
9,0.7433414947986603,0.6
10,1.1931521916389465,0.61
