round,loss,accuracy
0,1.1076301145553589,0.28
1,0.9936205077171326,0.57
2,0.8182986426353455,0.63
3,0.7211691272258759,0.74
4,0.6655745077133178,0.71
5,0.6059453237056732,0.72
6,0.572503297328949,0.76
7,0.5621361434459686,0.77
8,0.5473806631565094,0.74
9,0.522063022851944,0.79
10,0.5277045083045959,0.74
0,1.1076301145553589,0.28
1,1.0680165791511536,0.51
2,0.8858790373802186,0.59
3,0.7310907018184661,0.69
4,0.6949619030952454,0.71
5,0.5667809498310089,0.73
6,0.6536731481552124,0.7
7,0.6194835948944092,0.76
8,0.5025603318214417,0.78
9,0.5190176177024841,0.79
10,0.4872787082195282,0.78
0,1.1337331962585449,0.25
1,1.2514360761642456,0.47
2,1.0468118953704835,0.53
3,0.8941325759887695,0.59
4,0.7425272166728973,0.62
5,0.71688556432724,0.71
6,0.7060452508926391,0.61
7,0.5465545797348023,0.75
8,0.5940418612957,0.78
9,0.5702358329296112,0.76
10,0.544642163515091,0.76
0,1.1076301145553589,0.28
1,1.1200578141212463,0.44
2,0.8473003363609314,0.62
3,0.7037559413909912,0.67
4,0.6629339671134948,0.71
5,0.619237654209137,0.74
6,0.5604545879364013,0.75
7,0.5922245919704437,0.77
8,0.5288603150844574,0.76
9,0.6160107243061066,0.74
10,0.5034074318408966,0.77
0,1.1261077117919922,0.27
1,1.1432894468307495,0.32
2,0.8622545576095582,0.58
3,0.7482563865184784,0.69
4,0.6160633361339569,0.75
5,0.5948631119728088,0.76
6,0.5599618744850159,0.78
7,0.5481365203857422,0.78
8,0.5047894322872162,0.76
9,0.49526398777961733,0.78
10,0.5249199497699738,0.8
0,1.1076301145553589,0.28
1,1.245748519897461,0.59
2,0.8694962620735168,0.65
3,0.7031792902946472,0.72
4,0.703315156698227,0.69
5,0.579560821056366,0.77
6,0.5492647349834442,0.72
7,0.5579329085350037,0.75
8,0.5070552158355713,0.78
9,0.5912713801860809,0.74
10,0.46423879861831663,0.79
0,1.1076301145553589,0.28
1,0.9755585074424744,0.54
2,0.8165497398376464,0.66
3,0.7735068130493165,0.66
4,0.6801120829582215,0.7
5,0.5838842844963074,0.7
6,0.7300880753993988,0.66
7,0.5742070043087005,0.73
8,0.5457460629940033,0.77
9,0.5442783451080322,0.72
10,0.5416422295570373,0.76
