round,loss,accuracy
0,1.106903805732727,0.3
1,0.8554967474937439,0.59
2,0.9118230009078979,0.61
3,0.6154517221450806,0.74
4,0.5661277043819427,0.79
5,0.5763565289974213,0.78
6,0.4715947663784027,0.81
7,0.47218946635723114,0.8
8,0.4637260437011719,0.82
9,0.47696215033531186,0.79
10,0.42660093486309053,0.81
0,1.106903805732727,0.3
1,0.8098348498344421,0.64
2,0.7660813355445861,0.74
3,0.6730801987648011,0.72
4,0.6070867311954499,0.75
5,0.5136353170871735,0.81
6,0.5041245806217194,0.78
7,0.49042649269104005,0.81
8,0.502401043176651,0.79
9,0.4753316330909729,0.81
10,0.43417181372642516,0.8
0,1.106903805732727,0.3
1,0.8414263677597046,0.66
2,0.6753971934318542,0.73
3,0.7000466704368591,0.72
4,0.6057436001300812,0.77
5,0.5607849025726318,0.73
6,0.5301735818386077,0.77
7,0.4843764555454254,0.8
8,0.4611912053823471,0.82
9,0.4437757408618927,0.79
10,0.423251274228096,0.83
0,1.1106913232803344,0.24
1,0.9536405420303344,0.56
2,0.7623938775062561,0.71
3,0.6829239797592163,0.78
4,0.7476355266571045,0.73
5,0.6108662462234498,0.74
6,0.6130402839183807,0.75
7,0.565651673078537,0.78
8,0.5362852895259858,0.81
9,0.5052493727207183,0.8
10,0.4746854031085968,0.8
0,1.0828834390640258,0.39
1,0.9806550216674804,0.44
2,0.7569669961929322,0.75
3,0.602569043636322,0.77
4,0.6127305281162262,0.74
5,0.47285299122333524,0.81
6,0.5186898297071457,0.77
7,0.4676653903722763,0.79
8,0.4275338214635849,0.83
9,0.41249212980270383,0.8
10,0.4209081655740738,0.77
0,1.0831443881988525,0.31
1,0.9615980529785156,0.54
2,0.8599257111549378,0.6
3,0.8251905798912048,0.61
0,1.1106913232803344,0.24
0,1.0774334383010864,0.4
1,0.8918419170379639,0.68
2,0.7980135774612427,0.62
3,0.746225254535675,0.73
4,0.6788841474056244,0.82
5,0.6334550213813782,0.75
6,0.5154169189929962,0.79
7,0.4838615942001343,0.8
8,0.4470042788982391,0.81
9,0.4688925802707672,0.8
10,0.366135790348053,0.85
0,1.0831443881988525,0.31
1,0.9648425507545472,0.55
2,0.9158019757270813,0.58
3,0.7536265349388123,0.75
4,0.6282275640964508,0.75
5,0.5950905346870422,0.76
6,0.6082247745990753,0.76
7,0.4675649964809418,0.81
8,0.4382413899898529,0.82
9,0.41679212033748625,0.83
10,0.4044252413511276,0.81
0,1.1106913232803344,0.24
1,0.9540421557426453,0.48
2,0.7743368649482727,0.75
3,0.7704381036758423,0.72
4,0.6011339032649994,0.75
5,0.6273947477340698,0.77
6,0.6515462124347686,0.73
7,0.544562394618988,0.78
8,0.5257001209259033,0.76
9,0.5359297633171082,0.75
10,0.5235545933246613,0.79
