round,loss,accuracy
0,1.0982819938659667,0.47
1,1.5269869422912599,0.47
2,1.4590871548652649,0.47
3,1.2161652636528015,0.47
4,1.3898936939239501,0.47
5,1.576046380996704,0.47
6,1.0545661735534668,0.61
7,0.5431808811426163,0.81
8,0.5418135595321655,0.8
9,0.3691890233755112,0.85
10,0.4448577030003071,0.8
0,1.0946112060546875,0.47
1,1.2950172734260559,0.47
2,1.273879337310791,0.47
3,1.3416189813613892,0.47
4,1.6117682242393494,0.47
5,2.6133308172225953,0.47
6,1.089219937324524,0.51
7,1.155683660507202,0.61
8,0.7821646010875702,0.66
9,0.6666594099998474,0.73
10,0.6546007239818573,0.71
0,1.0954028749465943,0.47
1,1.3379773569107056,0.47
2,1.292319927215576,0.47
3,1.3865060019493103,0.47
4,1.5740231895446777,0.47
5,2.5812496280670167,0.47
6,2.2438563203811643,0.47
7,1.303998166322708,0.66
8,0.525339640378952,0.8
9,0.6424010145664215,0.77
10,1.158692632606253,0.74
0,1.0992938661575318,0.21
1,1.4602269124984741,0.47
2,1.4364500951766968,0.47
3,1.3433022570610047,0.47
4,1.4989584589004517,0.47
5,2.4286089611053465,0.47
6,1.6169459879398347,0.53
7,0.6984444870054722,0.75
8,0.7157795953750611,0.7
9,0.8622988557815552,0.79
10,0.6080989217758179,0.71
0,1.0992938661575318,0.21
1,1.3003639411926269,0.47
2,1.3268307852745056,0.47
3,1.4584330558776855,0.47
4,2.0409332060813905,0.47
5,2.879300231933594,0.47
6,2.773331642150879,0.5
7,0.8258294874429702,0.67
8,0.5478776445984841,0.76
9,0.7205613934993744,0.68
10,0.5680915558338165,0.78
0,1.0954028749465943,0.47
1,1.4082489442825317,0.47
2,1.2467614030838012,0.47
3,1.4143494296073913,0.47
4,2.6106123685836793,0.47
5,3.902694573402405,0.47
6,2.115366475582123,0.5
7,0.8884165418148041,0.64
8,1.0874910175800323,0.67
9,0.7530545566603541,0.8
10,0.5883961814641953,0.78
0,1.0992938661575318,0.21
1,1.2009175658226012,0.47
2,1.2640006232261658,0.47
3,1.1395731377601623,0.47
4,1.4003719544410707,0.47
5,2.5366572284698488,0.47
6,2.437964344024658,0.5
7,0.6605442488193511,0.75
8,0.6390665978193283,0.79
9,0.8824294424057006,0.67
10,0.5276836334168911,0.79
