round,loss,accuracy
0,1.0739244246482849,0.49
1,3.408581519126892,0.49
2,4.158411855697632,0.49
3,2.9877725219726563,0.49
4,1.3974800682067872,0.65
5,1.1037083220481874,0.66
6,1.7497089529037475,0.56
7,0.839358639717102,0.68
8,0.6695209151506424,0.81
9,0.6417347133159638,0.78
10,1.042119070291519,0.75
0,1.190658826828003,0.22
1,7.772971048355102,0.49
2,0.9899385595321655,0.55
3,1.6370464777946472,0.51
4,0.673884813785553,0.75
5,0.5307192945480347,0.79
6,0.5326696717739106,0.78
7,0.4023929342627525,0.82
8,0.7377575409412384,0.72
9,0.3793492794036865,0.86
10,0.6101395201683044,0.74
0,1.0633277988433838,0.43
1,3.9467816734313965,0.49
2,9.269344081878662,0.49
3,0.70693598985672,0.68
4,0.6540811723470688,0.74
5,0.9953147435188293,0.67
6,1.3439291286468507,0.58
7,0.5173394095897674,0.77
8,0.4334163129329681,0.82
9,0.44240758538246155,0.86
10,2.299542106613517,0.58
0,1.1222893762588502,0.22
1,6.27168625831604,0.49
2,2.007295126914978,0.53
3,2.2092409324645996,0.51
4,0.8051022100448608,0.7
5,0.7083042091131211,0.8
6,1.740691728591919,0.51
7,1.1411342132091522,0.63
8,0.5210008215904236,0.77
9,0.38495888739824297,0.85
10,0.27350560747087,0.9
0,1.190658826828003,0.22
1,17.072285213470458,0.49
2,4.168236165046692,0.49
3,7.1300168800354005,0.49
4,1.3553470993041992,0.63
5,0.37418256521224974,0.83
6,0.5503608900308609,0.78
7,0.49565619707107544,0.79
8,1.5716228246688844,0.47
9,1.0727840602397918,0.69
10,0.3003473198413849,0.88
0,1.190658826828003,0.22
1,4.531117124557495,0.49
2,1.6929352688789367,0.5
3,3.6404025459289553,0.49
4,0.849723150730133,0.68
5,0.712371187210083,0.71
6,0.46534912586212157,0.78
7,1.4933685040473939,0.67
8,0.8971653199195861,0.6
9,1.2444820928573608,0.59
10,1.7365917873382568,0.54
0,1.1222893762588502,0.22
1,5.47800217628479,0.49
2,9.205282764434815,0.49
3,3.811918794512749,0.53
4,0.6713955545425415,0.75
5,1.1000065612792969,0.65
6,0.3416206479072571,0.84
7,1.9942429637908936,0.39
8,0.5292829147726298,0.84
9,1.979448618888855,0.47
10,0.39144860923290253,0.83
