round,loss,accuracy
0,1.1936681032180787,0.22
1,3.7170341920852663,0.47
2,11.99099118232727,0.47
3,1.261572847366333,0.57
4,0.7191143107414245,0.72
5,0.9224822854995728,0.67
6,1.1850848913192749,0.68
7,1.5687260007858277,0.61
8,0.47594886302948,0.86
9,0.9869381523132325,0.68
10,0.3378437674045563,0.88
0,1.1936681032180787,0.22
1,6.378482866287231,0.47
2,3.6822441101074217,0.47
3,6.796203479766846,0.47
4,0.3657523149251938,0.88
5,0.9059693813323975,0.68
6,1.0803951168060302,0.57
7,0.44925111293792724,0.79
8,0.6350413048267365,0.76
9,0.4171491077542305,0.82
10,0.3773691654205322,0.89
0,1.0627726221084595,0.41
1,1.588348786830902,0.47
2,4.143250370025635,0.47
3,1.8012461894750595,0.68
4,0.8990263843536377,0.7
5,0.6410768055915832,0.74
6,1.985036211013794,0.59
7,0.5219763517379761,0.81
8,0.5826728463172912,0.81
9,0.49966607213020325,0.82
10,0.7267806720733643,0.76
0,1.1936681032180787,0.22
1,4.6582451343536375,0.47
2,11.123772621154785,0.47
3,1.2826876330375672,0.56
4,0.8053677678108215,0.69
5,0.8057159328460693,0.74
6,0.7098097133636475,0.75
7,1.1616255712509156,0.57
8,0.4242514371871948,0.84
9,1.482670831680298,0.64
10,0.5705507564544677,0.81
0,1.1936681032180787,0.22
1,3.0649656152725218,0.47
2,5.802999095916748,0.47
3,2.8440218782424926,0.47
4,0.8837750077247619,0.68
5,0.7867176580429077,0.76
6,1.0904538178443908,0.7
7,0.4518505811691284,0.81
8,0.8823630475997924,0.72
9,0.31311763763427736,0.86
10,0.5244774031639099,0.83
0,1.0627726221084595,0.41
1,7.77969744682312,0.47
2,1.3339456152915954,0.52
3,1.8257073545455933,0.57
4,0.85615553855896,0.73
5,0.8668996357917785,0.74
6,0.546419243812561,0.81
7,0.48803004503250125,0.85
8,0.9529148530960083,0.68
9,1.3403381705284119,0.64
10,0.31543176412582397,0.87
0,1.1206142044067382,0.22
1,5.958811464309693,0.47
2,5.957427892684937,0.47
3,0.7831443643569946,0.67
4,0.5452305746078491,0.78
5,0.6675819325447082,0.75
6,0.36642013549804686,0.85
7,2.294283375740051,0.42
8,0.4388271534442902,0.85
9,1.1819195318222047,0.62
10,0.4567108678817749,0.85
