round,loss,accuracy
0,1.0984298038482665,0.22
1,1.0683124494552612,0.47
2,3.584688596725464,0.47
3,3.6845200300216674,0.47
4,2.3834289121627807,0.47
5,2.0767082500457765,0.47
6,1.856917643547058,0.47
7,0.7975118017196655,0.61
8,0.6285920286178589,0.68
9,0.8246142387390136,0.66
10,0.7553120625019073,0.66
0,1.0984298038482665,0.22
1,1.0896046018600465,0.47
2,4.028992357254029,0.47
3,3.5484272050857544,0.47
4,1.2345239543914794,0.5
5,1.5007317352294922,0.47
6,0.6162236428260803,0.76
7,0.7705810499191285,0.59
8,0.5466664409637452,0.76
9,0.6356125330924988,0.63
10,0.8803587448596955,0.59
0,1.0822437191009522,0.47
1,1.5354968285560608,0.47
2,4.282502717971802,0.47
3,3.0905280017852785,0.47
4,2.3154712867736817,0.47
5,1.7964517545700074,0.47
6,1.164117910861969,0.51
7,0.7589336037635803,0.58
8,1.0531848096847534,0.55
9,0.750606677532196,0.67
10,0.8518942821025849,0.59
0,1.08408842086792,0.47
1,1.3601522278785705,0.47
2,3.636107177734375,0.47
3,4.0203603172302245,0.47
4,2.0007700729370117,0.47
5,0.7442710828781128,0.66
6,0.6184680891036988,0.71
7,0.7446578860282898,0.59
8,1.604518642425537,0.38
9,0.8960527658462525,0.6
10,0.7965964591503143,0.64
0,1.0984298038482665,0.22
1,1.0519629907608032,0.47
2,3.5492988061904907,0.47
3,3.3175481939315796,0.47
4,1.5941815042495728,0.47
5,2.552033290863037,0.47
6,1.0347895169258117,0.52
7,1.0148376417160034,0.51
8,0.6234051012992858,0.73
9,0.68601557970047,0.67
10,0.6020564460754394,0.79
0,1.0822437191009522,0.47
1,1.6771832251548766,0.47
2,4.401698246002197,0.47
3,3.919199104309082,0.47
4,2.0616600131988525,0.47
5,1.5111831259727477,0.49
6,1.0233699822425841,0.55
7,0.7940564560890198,0.56
8,0.6536099338531494,0.72
9,0.5782919096946716,0.74
10,0.5140575242042541,0.79
0,1.0984298038482665,0.22
1,1.0848829126358033,0.47
2,3.878067440986633,0.47
3,3.893164291381836,0.47
4,2.1391649580001832,0.47
5,0.9665269422531128,0.51
6,0.9733947229385376,0.52
7,0.5952206659317016,0.77
8,1.3661411571502686,0.49
9,0.9440651750564575,0.5
10,0.6564054369926453,0.61
