round,loss,accuracy
0,1.1119839000701903,0.31
1,0.9387684917449951,0.57
2,0.8992676496505737,0.61
3,0.6964190840721131,0.74
4,0.6177869963645936,0.77
5,0.53483278632164,0.78
6,0.4905323827266693,0.78
7,0.47857202768325807,0.82
8,0.4686935567855835,0.82
9,0.4520205533504486,0.8
10,0.4924214458465576,0.8
0,1.1119839000701903,0.31
1,1.065006546974182,0.46
2,0.7941224384307861,0.62
3,0.7271773409843445,0.72
4,0.6164645051956177,0.73
0,1.0852798986434937,0.51
1,0.9806966257095336,0.57
2,0.8187623596191407,0.63
3,1.0344196796417235,0.3
4,0.7929711937904358,0.65
5,0.7055991888046265,0.69
6,0.6151758909225464,0.74
7,0.6080962920188904,0.76
8,0.6418899869918824,0.72
9,0.45296072602272036,0.8
10,0.43413777351379396,0.75
0,1.1082107257843017,0.26
1,0.8289767193794251,0.64
2,0.7786145353317261,0.72
3,0.6614002752304077,0.68
4,0.5660874962806701,0.78
5,0.5170422124862671,0.77
6,0.48173664093017576,0.82
7,0.47061834633350375,0.77
8,0.4742410635948181,0.82
9,0.40959858655929565,0.81
10,0.40265856504440306,0.85
0,1.1119839000701903,0.31
1,1.0041449975967407,0.5
2,0.8104496574401856,0.68
3,0.8237467896938324,0.62
4,0.6741713631153107,0.68
5,0.5884601187705993,0.73
6,0.6087411725521088,0.7
7,0.5117986834049225,0.79
8,0.515947048664093,0.75
9,0.45741408586502075,0.8
10,0.4824451005458832,0.82
0,1.1119839000701903,0.31
1,0.9579041528701783,0.55
2,0.8309392833709717,0.6
3,0.6919981241226196,0.71
4,0.6396038007736206,0.73
5,0.6375915908813476,0.72
6,0.532079039812088,0.75
7,0.5504138040542602,0.81
8,0.5099247479438782,0.76
9,0.5250723183155059,0.79
10,0.4918233442306519,0.81
0,1.084311556816101,0.43
1,0.8897015714645385,0.66
2,1.0588235712051393,0.4
3,0.7587784433364868,0.73
4,0.7415011548995971,0.7
5,0.6879115962982177,0.72
6,0.6165889477729798,0.77
7,0.6676285099983216,0.73
8,0.5396051061153412,0.82
9,0.5738909590244293,0.81
10,0.5047576606273652,0.79
0,1.1342475175857545,0.22
1,1.1367310237884523,0.23
2,0.9333018064498901,0.54
3,0.9651223945617676,0.59
4,0.7323226237297058,0.65
5,0.6881205701828003,0.73
6,0.584857702255249,0.75
7,0.5572876977920532,0.77
8,0.49678056478500365,0.81
9,0.5641189408302307,0.78
10,0.44607402324676515,0.8
0,1.1119839000701903,0.31
1,0.8144500970840454,0.62
2,0.7811787486076355,0.63
3,0.7438585162162781,0.65
4,0.7139757704734803,0.66
5,0.6035640490055084,0.73
6,0.6046349275112152,0.79
7,0.5777589040994644,0.7
8,0.5187289190292358,0.76
9,0.5621567940711976,0.76
10,0.4823743653297424,0.81
0,1.1119839000701903,0.31
1,0.8725870299339294,0.54
2,0.8253496837615967,0.62
3,0.695877480506897,0.72
4,0.6407265341281891,0.69
5,0.5182372164726258,0.76
6,0.4958586204051971,0.82
7,0.48668120384216307,0.8
8,0.46801760911941526,0.81
9,0.44950016975402834,0.82
10,0.4691361451148987,0.81
0,1.1119839000701903,0.31
1,1.3407961559295654,0.57
2,0.7651841855049133,0.62
3,0.6876192951202392,0.76
4,0.5561664581298829,0.78
5,0.5461778056621551,0.76
6,0.5006186389923095,0.77
7,0.5480731391906738,0.81
8,0.47197905063629153,0.8
9,0.45930247724056245,0.76
10,0.4456088161468506,0.84
0,1.1119839000701903,0.31
1,0.8147850131988525,0.61
2,0.7942716240882873,0.6
3,0.7808006501197815,0.63
4,0.629026141166687,0.74
5,0.5835214304924011,0.74
6,0.5526351010799408,0.76
7,0.5094695460796356,0.8
8,0.460427280664444,0.79
9,0.5119132435321808,0.81
10,0.4602175521850586,0.8
0,1.1009422826766968,0.42
1,0.8981963729858399,0.67
2,0.7416046190261841,0.65
3,0.730972032546997,0.71
4,0.5965573120117188,0.81
5,0.5577693510055542,0.77
6,0.5950950038433075,0.76
7,0.5219252157211304,0.82
8,0.47926618814468386,0.83
9,0.45480931758880616,0.85
10,0.41084842801094057,0.79
0,1.1119839000701903,0.31
1,1.0872592115402222,0.51
2,0.7988130664825439,0.65
3,0.7290359425544739,0.71
4,0.6301709461212158,0.73
5,0.5918466305732727,0.76
6,0.5220882439613342,0.78
7,0.5127468144893647,0.8
8,0.491046404838562,0.79
9,0.5317376708984375,0.79
10,0.4586500608921051,0.84
0,1.1119839000701903,0.31
1,1.0886845731735229,0.56
2,0.7974746370315552,0.7
3,0.6955572462081909,0.75
4,0.632760659456253,0.78
5,0.5774591732025146,0.76
6,0.5672792339324951,0.79
7,0.5132883942127228,0.76
8,0.5166357517242431,0.73
9,0.4559947144985199,0.8
10,0.5107451677322388,0.78
0,1.1119839000701903,0.31
1,0.9610136103630066,0.57
2,0.7780946969985962,0.68
3,0.6919845199584961,0.69
4,0.6332696890830993,0.76
5,0.6351176106929779,0.76
6,0.532512571811676,0.77
7,0.549260573387146,0.8
8,0.4837225031852722,0.76
9,0.4710374009609222,0.82
10,0.4663813471794128,0.81
0,1.1119839000701903,0.31
1,0.8181428146362305,0.64
2,0.7341125154495239,0.66
3,0.6889767909049987,0.7
4,0.641387677192688,0.71
5,0.5810620224475861,0.76
6,0.4951047134399414,0.79
7,0.5439681077003479,0.79
8,0.46559889912605285,0.8
9,0.45735706090927125,0.83
10,0.4452340233325958,0.78
0,1.0970031309127808,0.32
1,0.9164126300811768,0.59
2,0.7654848265647888,0.7
3,0.6364716839790344,0.74
4,0.589752299785614,0.77
5,0.5483155179023743,0.77
6,0.47679437398910524,0.8
7,0.4789839518070221,0.83
8,0.40560532331466675,0.83
9,0.46989059805870054,0.81
10,0.39295308947563173,0.78
