round,client_id,accuracy,loss
0,0,0.27,1.098790364265442
0,1,0.29,1.0981648683547973
1,0,0.5,1.3511931443214416
1,1,0.49,1.3901336097717285
2,0,0.5,1.307178258895874
2,1,0.49,1.341403179168701
3,0,0.5,1.5841466665267945
3,1,0.49,1.620559935569763
4,0,0.5,1.5376773881912231
4,1,0.49,1.574779031276703
5,0,0.5,2.370787959098816
5,1,0.49,2.3897405958175657
6,0,0.58,0.977929447889328
6,1,0.56,1.322539279460907
7,0,0.63,0.9701590263843536
7,1,0.57,1.145326142311096
8,0,0.65,1.3768054431676864
8,1,0.64,1.3634526872634887
9,0,0.66,0.9403534311056138
9,1,0.63,0.9847053408622741
10,0,0.73,0.834509751573205
10,1,0.77,0.9252589607238769
