round,client_id,accuracy,loss
0,0,0.0,1.1155023574829102
0,1,0.0,1.1155023574829102
1,0,1.0,0.009384332154702423
1,1,1.0,0.009384332136029289
2,0,1.0,1.4543429601769475e-05
2,1,1.0,1.4543429729417853e-05
3,0,1.0,3.5762783958954314e-07
3,1,1.0,3.576278361703901e-07
4,0,1.0,8.747987610826713e-07
4,1,1.0,8.727820819504337e-07
5,0,1.0,4.078212109869442e-07
5,1,1.0,3.7749605109552034e-07
6,0,1.0,0.0
6,1,1.0,0.0
7,0,1.0,0.0
7,1,1.0,0.0
8,0,1.0,0.0
8,1,1.0,0.0
9,0,1.0,0.0
9,1,1.0,0.0
10,0,1.0,0.0
10,1,1.0,0.0
