round,client_id,accuracy,loss
0,0,0.21,1.0988858079910278
0,1,0.25,1.0984814500808715
1,0,0.5,1.3817073345184325
1,1,0.47,1.4301442623138427
2,0,0.5,1.40790931224823
2,1,0.47,1.4764090991020202
3,0,0.5,1.694589114189148
3,1,0.47,1.7739160633087159
4,0,0.5,1.6644811034202576
4,1,0.47,1.7460322570800781
5,0,0.5,1.883838596343994
5,1,0.47,2.0605417585372923
6,0,0.61,1.1669404554367064
6,1,0.52,1.787283308506012
7,0,0.73,0.590967845916748
7,1,0.75,0.7490292304754257
8,0,0.77,0.8720118427276611
8,1,0.76,0.8626461911201477
9,0,0.62,1.1180899381637572
9,1,0.64,0.9725281918048858
10,0,0.77,0.5802047967910766
10,1,0.7,0.8400644934177399
