round,client_id,accuracy,loss
0,0,0.22,1.09909077167511
0,1,0.22,1.09909077167511
0,2,0.22,1.09909077167511
1,0,0.47,1.3380145001411439
1,1,0.47,1.3380145001411439
1,2,0.47,1.3380145025253296
2,0,0.47,1.5797929430007935
2,1,0.47,1.5797929644584656
2,2,0.47,1.5797930026054383
3,0,0.47,1.8918326854705811
3,1,0.47,1.8918208169937134
3,2,0.47,1.891841151714325
4,0,0.47,2.111859917640686
4,1,0.47,2.1143931913375855
4,2,0.47,2.1144518089294433
5,0,0.47,2.905345849990845
5,1,0.47,2.9428142309188843
5,2,0.47,2.9888719749450683
6,0,0.51,1.2287735080718993
6,1,0.54,1.2982830727100372
6,2,0.53,1.6287643563747407
7,0,0.78,0.4605092120170593
7,1,0.76,0.5550991189479828
7,2,0.75,0.7302916264533996
8,0,0.77,0.5759226953983307
8,1,0.79,0.6295623111724854
8,2,0.73,0.6251865524053574
9,0,0.78,0.8303125715255737
9,1,0.74,0.879276852607727
9,2,0.79,0.7253322029113769
10,0,0.72,0.7041193771362305
10,1,0.73,0.937984642982483
10,2,0.76,0.8194115418195724
