round,client_id,accuracy,loss
0,0,0.5,1.0937422180175782
0,1,0.47,1.0946566009521483
0,2,0.47,1.0946112060546875
1,0,0.5,1.2336865162849426
1,1,0.47,1.287352783679962
1,2,0.47,1.2950172734260559
2,0,0.5,1.2134121799468993
2,1,0.47,1.2597197437286376
2,2,0.47,1.273879337310791
3,0,0.5,1.2719145870208741
3,1,0.47,1.312651152610779
3,2,0.47,1.3416189813613892
4,0,0.5,1.523632094860077
4,1,0.47,1.5975017857551574
4,2,0.47,1.6117682242393494
5,0,0.5,2.389791088104248
5,1,0.47,2.6184285640716554
5,2,0.47,2.6133308172225953
6,0,0.58,0.8910181713104248
6,1,0.53,1.0744848537445069
6,2,0.51,1.089219937324524
7,0,0.68,0.8977096199989318
7,1,0.64,1.2832385277748108
7,2,0.61,1.155683660507202
8,0,0.75,0.4850106573104858
8,1,0.68,0.8949450838565827
8,2,0.66,0.7821646010875702
9,0,0.79,0.4479490411281586
9,1,0.71,0.8007225787639618
9,2,0.73,0.6666594099998474
10,0,0.82,0.5785268926620484
10,1,0.71,0.8317136526107788
10,2,0.71,0.6546007239818573
