round,client_id,accuracy,loss
0,0,0.23,1.0984795808792114
0,1,0.22,1.0994988298416137
0,2,0.22,1.0988187074661255
1,0,0.5,1.398149847984314
1,1,0.44,1.5627029943466186
1,2,0.49,1.429164252281189
2,0,0.5,1.5521595764160157
2,1,0.44,1.7417828941345215
2,2,0.49,1.587443208694458
3,0,0.5,1.5753435230255126
3,1,0.44,1.76951180934906
3,2,0.49,1.6116312098503114
4,0,0.5,2.03243586063385
4,1,0.44,2.291229190826416
4,2,0.49,2.078638849258423
5,0,0.5,2.592815217971802
5,1,0.44,2.920492367744446
5,2,0.49,2.640486660003662
6,0,0.58,1.3021542429924011
6,1,0.57,1.468115668296814
6,2,0.56,1.4211939787864685
7,0,0.74,0.6156431305408477
7,1,0.74,0.7739664542675019
7,2,0.68,0.7287058353424072
8,0,0.74,0.6255173563957215
8,1,0.73,0.6334226083755493
8,2,0.65,0.7075417947769165
9,0,0.81,0.5854397045820952
9,1,0.75,0.5391409381106496
9,2,0.72,0.9304247283935547
10,0,0.8,0.54978799700737
10,1,0.75,0.7638732290267944
10,2,0.76,0.7539534568786621
