round,client_id,accuracy,loss
0,0,1.0,1.0948171579748167
0,1,1.0,1.094817116146996
0,2,1.0,1.094817116146996
1,0,1.0,0.017864402243517395
1,1,1.0,0.017864402206171127
1,2,1.0,0.017864402206171127
2,0,1.0,2.455681516907941e-05
2,1,1.0,2.4556814986724584e-05
2,2,1.0,2.4556814986724584e-05
3,0,1.0,5.960463315027038e-07
3,1,1.0,5.960463394807275e-07
3,2,1.0,5.960463394807275e-07
4,0,1.0,1.3113014943896849e-06
4,1,1.0,1.3113014921102496e-06
4,2,1.0,1.3113014921102496e-06
5,0,1.0,1.0298601095323955e-06
5,1,1.0,1.028889095150156e-06
5,2,1.0,1.0161167578882583e-06
6,0,1.0,1.7926207886519381e-09
6,1,1.0,2.838316248698902e-09
6,2,1.0,0.0
7,0,1.0,0.0
7,1,1.0,0.0
7,2,1.0,0.0
8,0,1.0,0.0
8,1,1.0,0.0
8,2,1.0,0.0
9,0,1.0,0.0
9,1,1.0,0.0
9,2,1.0,0.0
10,0,1.0,0.0
10,1,1.0,0.0
10,2,1.0,0.0
