round,client_id,accuracy,loss
0,0,0.22,1.1918138599395751
0,1,0.22,1.1936681032180787
1,0,0.47,4.597239046096802
1,1,0.47,4.6582451343536375
2,0,0.47,10.428628311157226
2,1,0.47,11.123772621154785
3,0,0.61,1.127631254196167
3,1,0.56,1.2826876330375672
4,0,0.72,0.7180828154087067
4,1,0.69,0.8053677678108215
5,0,0.76,0.6448332798480988
5,1,0.74,0.8057159328460693
6,0,0.79,0.6305642890930175
6,1,0.75,0.7098097133636475
7,0,0.61,1.1541688537597656
7,1,0.57,1.1616255712509156
8,0,0.82,0.4911028790473938
8,1,0.84,0.4242514371871948
9,0,0.57,1.426926727294922
9,1,0.64,1.482670831680298
10,0,0.85,0.47633776664733884
10,1,0.81,0.5705507564544677
