round,client_id,accuracy,loss
0,0,0.21,1.119934811592102
0,1,0.21,1.122462511062622
1,0,0.5,11.47921672821045
1,1,0.47,12.585917701721192
2,0,0.56,1.7523531270027162
2,1,0.49,1.8486842393875123
3,0,0.61,1.4530009019374848
3,1,0.57,2.0197347736358644
4,0,0.5,1.435562105178833
4,1,0.55,1.1957847261428833
5,0,0.78,0.6585241383314133
5,1,0.86,0.4434344184398651
6,0,0.77,0.7649403309822083
6,1,0.76,0.8143435287475586
7,0,0.49,1.9828150177001953
7,1,0.52,1.6545592880249023
8,0,0.85,0.5358173751831055
8,1,0.83,0.4496703013777733
9,0,0.64,1.4654403400421143
9,1,0.7,0.9759174346923828
10,0,0.52,2.5813493490219117
10,1,0.5,2.281834592819214
