round,client_id,accuracy,loss
0,0,0.23,1.1211793422698975
0,1,0.22,1.1222893762588502
1,0,0.5,6.1652658176422115
1,1,0.49,6.27168625831604
2,0,0.57,1.7920356845855714
2,1,0.53,2.007295126914978
3,0,0.53,1.9324836683273316
3,1,0.51,2.2092409324645996
4,0,0.72,0.7995645141601563
4,1,0.7,0.8051022100448608
5,0,0.8,0.5462580502033234
5,1,0.8,0.7083042091131211
6,0,0.52,1.616487169265747
6,1,0.51,1.740691728591919
7,0,0.62,1.2986337184906005
7,1,0.63,1.1411342132091522
8,0,0.8,0.602206540107727
8,1,0.77,0.5210008215904236
9,0,0.78,0.6379714393615723
9,1,0.85,0.38495888739824297
10,0,0.87,0.39397487640380857
10,1,0.9,0.27350560747087
