round,client_id,accuracy,loss
0,0,0.22,1.1918138599395751
0,1,0.22,1.1957195091247559
0,2,0.22,1.1936681032180787
1,0,0.47,6.360890865325928
1,1,0.47,6.3633280277252195
1,2,0.47,6.378482866287231
2,0,0.47,3.5540266466140746
2,1,0.47,3.749194121360779
2,2,0.47,3.6822441101074217
3,0,0.47,6.253790531158447
3,1,0.47,6.934362745285034
3,2,0.47,6.796203479766846
4,0,0.81,0.40739970445632934
4,1,0.82,0.48317876815795896
4,2,0.88,0.3657523149251938
5,0,0.81,0.6991995668411255
5,1,0.73,0.6093690371513367
5,2,0.68,0.9059693813323975
6,0,0.62,1.2022250747680665
6,1,0.55,1.1718569660186768
6,2,0.57,1.0803951168060302
7,0,0.82,0.3588221311569214
7,1,0.91,0.24270999193191528
7,2,0.79,0.44925111293792724
8,0,0.81,0.5643838500976562
8,1,0.74,0.6773692274093628
8,2,0.76,0.6350413048267365
9,0,0.84,0.4778710317611694
9,1,0.86,0.3256571161746979
9,2,0.82,0.4171491077542305
10,0,0.85,0.30968451976776123
10,1,0.91,0.23362958431243896
10,2,0.89,0.3773691654205322
