round,client_id,accuracy,loss
0,0,0.23,1.1822024154663087
0,1,0.22,1.1970890331268311
0,2,0.22,1.190658826828003
1,0,0.5,7.655911540985107
1,1,0.44,8.452887802124023
1,2,0.49,7.772971048355102
2,0,0.61,0.8705207872390747
2,1,0.52,1.035213017463684
2,2,0.55,0.9899385595321655
3,0,0.56,1.496943962574005
3,1,0.48,1.713277153968811
3,2,0.51,1.6370464777946472
4,0,0.8,0.6203295934200287
4,1,0.73,0.7137482023239136
4,2,0.75,0.673884813785553
5,0,0.77,0.6498658370971679
5,1,0.8,0.637061219215393
5,2,0.79,0.5307192945480347
6,0,0.83,0.47725035667419435
6,1,0.79,0.5908690643310547
6,2,0.78,0.5326696717739106
7,0,0.78,0.6017173671722412
7,1,0.82,0.4505851030349731
7,2,0.82,0.4023929342627525
8,0,0.67,0.9821606016159058
8,1,0.72,0.8139827346801758
8,2,0.72,0.7377575409412384
9,0,0.86,0.3674054265022278
9,1,0.8,0.5175539946556091
9,2,0.86,0.3793492794036865
10,0,0.77,0.7396548223495484
10,1,0.78,0.6426289176940918
10,2,0.74,0.6101395201683044
