round,client_id,accuracy,loss
0,0,0.0,1.1069937110843515
0,1,0.0,1.1203962507702054
0,2,0.0,1.1187610853286016
1,0,1.0,3.790322577850403e-05
1,1,1.0,3.065755784822007e-05
1,2,1.0,3.146503461591367e-05
2,0,1.0,1.192092822850811e-07
2,1,1.0,1.1920928143029284e-07
2,2,1.0,1.1920928143029284e-07
3,0,1.0,0.0
3,1,1.0,0.0
3,2,1.0,0.0
4,0,1.0,0.0
4,1,1.0,0.0
4,2,1.0,0.0
5,0,1.0,0.0
5,1,1.0,0.0
5,2,1.0,0.0
6,0,1.0,0.0
6,1,1.0,0.0
6,2,1.0,0.0
7,0,1.0,0.0
7,1,1.0,0.0
7,2,1.0,0.0
8,0,1.0,0.0
8,1,1.0,0.0
8,2,1.0,0.0
9,0,1.0,0.0
9,1,1.0,0.0
9,2,1.0,0.0
10,0,1.0,0.0
10,1,1.0,0.0
10,2,1.0,0.0
