round,client_id,accuracy,loss
0,0,0.47,1.0819341468811035
0,1,0.47,1.0823627662658692
1,0,0.47,1.564999659061432
1,1,0.47,1.602948715686798
2,0,0.47,4.746664562225342
2,1,0.47,4.765706572532654
3,0,0.47,3.3736701822280883
3,1,0.47,3.347951192855835
4,0,0.47,1.8349085569381713
4,1,0.48,1.8572265434265136
5,0,0.49,0.9690842664241791
5,1,0.48,0.9934782445430755
6,0,0.5,1.1232872772216798
6,1,0.5,1.162279373407364
7,0,0.64,0.6133793115615844
7,1,0.64,0.617461541891098
8,0,0.47,2.4416954851150514
8,1,0.47,2.5009509348869323
9,0,0.6,0.7919292336702347
9,1,0.65,0.7367652785778046
10,0,0.53,0.9257991218566894
10,1,0.47,0.949089879989624
