round,client_id,accuracy,loss
0,0,0.22,1.098417706489563
0,1,0.22,1.098479709625244
1,0,0.47,1.0894281697273254
1,1,0.47,1.1006893491744996
2,0,0.47,3.9400984859466552
2,1,0.47,4.199263753890992
3,0,0.47,3.0732581615448
3,1,0.47,3.3644114780426024
4,0,0.47,2.363554844856262
4,1,0.47,2.6108587169647217
5,0,0.48,1.6686320829391479
5,1,0.48,1.928656210899353
6,0,0.65,0.8257892775535584
6,1,0.61,1.0437918281555176
7,0,0.76,0.5812595701217651
7,1,0.75,0.5784366917610169
8,0,0.74,0.6917960357666015
8,1,0.64,0.8144726657867432
9,0,0.66,0.6049726676940917
9,1,0.67,0.600498104095459
10,0,0.7,0.5747448444366455
10,1,0.71,0.6115721464157104
