round,client_id,accuracy,loss
0,0,0.5,1.0838272094726562
0,1,0.44,1.085171208381653
1,0,0.5,1.2170283460617066
1,1,0.44,1.3505857300758362
2,0,0.5,4.127223787307739
2,1,0.44,4.597733221054077
3,0,0.5,4.283426303863525
3,1,0.44,4.678020601272583
4,0,0.51,2.1260968708992003
4,1,0.44,2.3718925952911376
5,0,0.5,3.3359702157974245
5,1,0.44,3.6136898136138917
6,0,0.64,0.7525589370727539
6,1,0.64,0.8021175479888916
7,0,0.56,0.9716097247600556
7,1,0.51,1.1476546025276184
8,0,0.3,2.0808703899383545
8,1,0.36,1.8133777809143066
9,0,0.51,1.0731759548187256
9,1,0.59,0.9579644107818603
10,0,0.61,0.8894159221649169
10,1,0.59,0.8698634338378907
