round,client_id,accuracy,loss
0,0,0.22,1.098417706489563
0,1,0.22,1.098479709625244
0,2,0.22,1.0984298038482665
1,0,0.47,1.0840585589408875
1,1,0.47,1.0945182466506957
1,2,0.47,1.0896046018600465
2,0,0.47,3.86360725402832
2,1,0.47,4.071791954040528
2,2,0.47,4.028992357254029
3,0,0.47,3.255099573135376
3,1,0.47,3.5774466514587404
3,2,0.47,3.5484272050857544
4,0,0.58,0.9838503885269165
4,1,0.56,1.214995687007904
4,2,0.5,1.2345239543914794
5,0,0.5,1.2562974977493286
5,1,0.49,1.4324066948890686
5,2,0.47,1.5007317352294922
6,0,0.77,0.5764511227607727
6,1,0.68,0.6712071561813354
6,2,0.76,0.6162236428260803
7,0,0.59,0.6760773181915283
7,1,0.61,0.7280975532531738
7,2,0.59,0.7705810499191285
8,0,0.76,0.5987470436096192
8,1,0.74,0.6433159589767456
8,2,0.76,0.5466664409637452
9,0,0.67,0.5967212772369385
9,1,0.66,0.621492714881897
9,2,0.63,0.6356125330924988
10,0,0.7,0.7276854300498963
10,1,0.66,0.7914142501354218
10,2,0.59,0.8803587448596955
