round,client_id,accuracy,loss
0,0,0.21,1.0974313449859618
0,1,0.25,1.0966558980941772
0,2,0.21,1.0991395282745362
1,0,0.5,1.0381699657440187
1,1,0.47,1.0843031001091004
1,2,0.47,1.079335367679596
2,0,0.5,3.5482210063934327
2,1,0.47,3.8957920932769774
2,2,0.47,3.8095089912414553
3,0,0.5,2.8181309270858765
3,1,0.47,3.1716017150878906
3,2,0.47,3.098013024330139
4,0,0.5,2.4222488164901734
4,1,0.47,2.8704582977294923
4,2,0.47,2.7949408292770386
5,0,0.53,1.1182417559623719
5,1,0.48,1.4617503738403321
5,2,0.48,1.4813203418254852
6,0,0.76,0.5433326923847198
6,1,0.68,0.6068626797199249
6,2,0.68,0.6160718655586243
7,0,0.54,1.2648038458824158
7,1,0.48,1.564144365787506
7,2,0.48,1.6089767742156982
8,0,0.67,0.7942411160469055
8,1,0.77,0.6116383665800095
8,2,0.76,0.6206426596641541
9,0,0.65,0.772517294883728
9,1,0.53,1.0479852652549744
9,2,0.52,1.0931801772117615
10,0,0.72,0.5628738617897033
10,1,0.64,0.7200618302822113
10,2,0.63,0.7516102302074432
