round,client_id,accuracy,loss
0,0,0.23,1.0962666606903075
0,1,0.22,1.1001576328277587
0,2,0.22,1.0973942279815674
1,0,0.5,1.0482541823387146
1,1,0.44,1.1085922360420226
1,2,0.49,1.0541419076919556
2,0,0.5,3.7588041830062866
2,1,0.44,4.051121916770935
2,2,0.49,3.7647775173187257
3,0,0.5,3.1149770736694338
3,1,0.44,3.3899620246887205
3,2,0.49,3.147987976074219
4,0,0.52,1.8312219166755677
4,1,0.44,2.0057831454277038
4,2,0.5,1.8651779413223266
5,0,0.5,1.5949201369285584
5,1,0.48,1.6328441333770751
5,2,0.51,1.5604812788963318
6,0,0.5,2.056668345928192
6,1,0.45,2.189453372955322
6,2,0.49,2.051277642250061
7,0,0.59,0.9514046812057495
7,1,0.55,1.1479822599887848
7,2,0.59,0.9994469702243804
8,0,0.75,0.561017079949379
8,1,0.75,0.618643366098404
8,2,0.75,0.5845506429672241
9,0,0.54,1.0181577682495118
9,1,0.65,0.9516859197616577
9,2,0.65,0.926353497505188
10,0,0.77,0.5407532218098641
10,1,0.76,0.7060995185375214
10,2,0.77,0.6058047974109649
