round,client_id,accuracy,loss
0,0,0.0,1.0701199689305814
0,1,0.0,1.070092064993722
0,2,0.0,1.0700939269292922
1,0,1.0,0.4033393160741132
1,1,1.0,0.4155491420200893
1,2,1.0,0.4081861064547584
2,0,1.0,0.0008361860829636566
2,1,1.0,0.0007903123984024638
2,2,1.0,0.0006389431322791747
3,0,1.0,8.963103462441299e-09
3,1,1.0,2.838316248698902e-09
3,2,1.0,0.0
4,0,1.0,0.0
4,1,1.0,0.0
4,2,1.0,0.0
5,0,1.0,0.0
5,1,1.0,0.0
5,2,1.0,0.0
6,0,1.0,0.0
6,1,1.0,0.0
6,2,1.0,0.0
7,0,1.0,0.0
7,1,1.0,0.0
7,2,1.0,0.0
8,0,1.0,0.0
8,1,1.0,0.0
8,2,1.0,0.0
9,0,1.0,0.0
9,1,1.0,0.0
9,2,1.0,0.0
10,0,1.0,0.0
10,1,1.0,0.0
10,2,1.0,0.0
