round,client_id,accuracy,loss
0,0,0.31,1.0980375480651856
0,1,0.31,1.1119839000701903
1,0,0.5,1.091601619720459
1,1,0.51,1.0872592115402222
2,0,0.65,0.7820710849761963
2,1,0.65,0.7988130664825439
3,0,0.76,0.7058355259895325
3,1,0.71,0.7290359425544739
4,0,0.8,0.6016864943504333
4,1,0.73,0.6301709461212158
5,0,0.81,0.5419670724868775
5,1,0.76,0.5918466305732727
6,0,0.83,0.5092524790763855
6,1,0.78,0.5220882439613342
7,0,0.81,0.4943924307823181
7,1,0.8,0.5127468144893647
8,0,0.77,0.48324376344680786
8,1,0.79,0.491046404838562
9,0,0.74,0.5377253770828248
9,1,0.79,0.5317376708984375
10,0,0.84,0.41426400184631346
10,1,0.84,0.4586500608921051
