round,client_id,accuracy,loss
0,0,0.36,1.0864877128601074
0,1,0.39,1.0794007968902588
1,0,0.33,1.0611800527572632
1,1,0.35,1.0396168422698975
2,0,0.79,0.7746215605735779
2,1,0.79,0.7553075456619263
3,0,0.71,0.7036306011676788
3,1,0.75,0.667051054239273
4,0,0.78,0.5522054493427276
4,1,0.84,0.49435627698898316
5,0,0.74,0.6402079725265503
5,1,0.77,0.5661885094642639
6,0,0.83,0.47601389288902285
6,1,0.82,0.4244022387266159
7,0,0.83,0.46634437680244445
7,1,0.82,0.40157453417778016
8,0,0.85,0.4381881183385849
8,1,0.85,0.3903290957212448
9,0,0.82,0.5031600952148437
9,1,0.84,0.4385514283180237
10,0,0.85,0.40887775778770447
10,1,0.88,0.35446847885847094
