round,client_id,accuracy,loss
0,0,0.28,1.0957732200622559
0,1,0.3,1.0880573034286498
1,0,0.67,0.898586208820343
1,1,0.6,0.9298357391357421
2,0,0.76,0.9119944405555725
2,1,0.74,0.9162216353416442
3,0,0.78,0.5738579654693603
3,1,0.81,0.5573926568031311
4,0,0.81,0.5139055323600769
4,1,0.81,0.502806363105774
5,0,0.83,0.44653124690055845
5,1,0.86,0.4362425947189331
6,0,0.81,0.43869083404541015
6,1,0.84,0.4363017922639847
7,0,0.81,0.4376046681404114
7,1,0.87,0.4100809717178345
8,0,0.83,0.3788846743106842
8,1,0.87,0.37282464921474456
9,0,0.84,0.39524625658988954
9,1,0.89,0.3703988313674927
10,0,0.84,0.42769344091415407
10,1,0.85,0.4086578568816185
