round,client_id,accuracy,loss
0,0,0.4,1.1007552289962768
0,1,0.43,1.1006054878234863
0,2,0.42,1.1009422826766968
1,0,0.68,0.89929696559906
1,1,0.63,0.9095026803016663
1,2,0.67,0.8981963729858399
2,0,0.66,0.7147797250747681
2,1,0.7,0.7212080597877503
2,2,0.65,0.7416046190261841
3,0,0.74,0.7271398544311524
3,1,0.73,0.7510138034820557
3,2,0.71,0.730972032546997
4,0,0.76,0.5867560958862305
4,1,0.82,0.5812585616111755
4,2,0.81,0.5965573120117188
5,0,0.76,0.5649183797836304
5,1,0.78,0.5728121674060822
5,2,0.77,0.5577693510055542
6,0,0.76,0.5516882801055908
6,1,0.78,0.541515748500824
6,2,0.76,0.5950950038433075
7,0,0.76,0.52927001953125
7,1,0.81,0.5431184673309326
7,2,0.82,0.5219252157211304
8,0,0.81,0.4803484487533569
8,1,0.83,0.48669914722442625
8,2,0.83,0.47926618814468386
9,0,0.82,0.4475613832473755
9,1,0.81,0.43938976764678955
9,2,0.85,0.45480931758880616
10,0,0.84,0.43206544876098635
10,1,0.82,0.3951344275474548
10,2,0.79,0.41084842801094057
