round,client_id,accuracy,loss
0,0,0.29,1.1079415559768677
0,1,0.28,1.1076301145553589
0,2,0.32,1.1008352088928222
1,0,0.54,0.9970506858825684
1,1,0.51,1.0680165791511536
1,2,0.51,1.0060111665725708
2,0,0.61,0.8051773953437805
2,1,0.59,0.8858790373802186
2,2,0.61,0.7787453246116638
3,0,0.76,0.6830389404296875
3,1,0.69,0.7310907018184661
3,2,0.77,0.6192483186721802
4,0,0.76,0.6306553268432618
4,1,0.71,0.6949619030952454
4,2,0.78,0.5744933402538299
5,0,0.82,0.5018402433395386
5,1,0.73,0.5667809498310089
5,2,0.86,0.44654541730880737
6,0,0.71,0.5872954058647156
6,1,0.7,0.6536731481552124
6,2,0.76,0.5433033001422882
7,0,0.77,0.560679007768631
7,1,0.76,0.6194835948944092
7,2,0.81,0.4838335168361664
8,0,0.85,0.4484185457229614
8,1,0.78,0.5025603318214417
8,2,0.89,0.3933699560165405
9,0,0.83,0.4524101221561432
9,1,0.79,0.5190176177024841
9,2,0.83,0.3952255606651306
10,0,0.86,0.41473839163780213
10,1,0.78,0.4872787082195282
10,2,0.88,0.35996672868728635
