round,client_id,accuracy,loss
0,0,0.41,1.0940579080581665
0,1,0.44,1.0945593070983888
0,2,0.42,1.0923276472091674
1,0,0.65,0.8640346169471741
1,1,0.56,0.9080323147773742
1,2,0.61,0.8704225277900696
2,0,0.72,0.7535757350921631
2,1,0.67,0.7942029428482056
2,2,0.74,0.7234337759017945
3,0,0.75,0.6523995792865753
3,1,0.67,0.7182094430923462
3,2,0.69,0.6331867754459382
4,0,0.77,0.5604392576217652
4,1,0.7,0.6242150497436524
4,2,0.72,0.5301550233364105
5,0,0.76,0.546353235244751
5,1,0.75,0.5970472526550293
5,2,0.86,0.48791231274604796
6,0,0.82,0.46627852201461795
6,1,0.83,0.5176456952095032
6,2,0.84,0.4330725955963135
7,0,0.83,0.4623065495491028
7,1,0.8,0.5381229090690612
7,2,0.86,0.4062525963783264
8,0,0.84,0.4448100090026855
8,1,0.81,0.5228008604049683
8,2,0.84,0.4117860150337219
9,0,0.86,0.4122885632514954
9,1,0.79,0.4902129101753235
9,2,0.84,0.3951069283485413
10,0,0.81,0.42377644538879394
10,1,0.77,0.5150416159629821
10,2,0.84,0.3976397144794464
