round,client_id,accuracy,loss
0,0,0.22,1.142490348815918
0,1,0.3,1.106903805732727
0,2,0.31333333333333335,1.1050385920206707
1,0,0.72,0.7642833328247071
1,1,0.64,0.8098348498344421
1,2,0.6133333333333333,0.9353051122029622
2,0,0.8,0.6099702835083007
2,1,0.74,0.7660813355445861
2,2,0.7066666666666667,0.7476520919799805
3,0,0.84,0.555193862915039
3,1,0.72,0.6730801987648011
3,2,0.6466666666666666,0.7387309392293294
4,0,0.88,0.4797199249267578
4,1,0.75,0.6070867311954499
4,2,0.74,0.6339883295694987
5,0,0.84,0.4400313377380371
5,1,0.81,0.5136353170871735
5,2,0.7733333333333333,0.5720726776123047
6,0,0.92,0.37410134315490723
6,1,0.78,0.5041245806217194
6,2,0.7666666666666667,0.5271352640787761
7,0,0.94,0.3129226493835449
7,1,0.81,0.49042649269104005
7,2,0.82,0.47066178639729817
8,0,0.92,0.29986905097961425
8,1,0.79,0.502401043176651
8,2,0.84,0.4470174090067546
9,0,0.92,0.34671098709106446
9,1,0.81,0.4753316330909729
9,2,0.7666666666666667,0.5061834081013997
10,0,0.92,0.31151768684387204
10,1,0.8,0.43417181372642516
10,2,0.84,0.44034956614176435
0,0,0.3,1.1088461303710937
0,1,0.39,1.0828834390640258
0,2,0.38,1.096461944580078
1,0,0.48,0.9201932525634766
1,1,0.44,0.9806550216674804
1,2,0.46,0.9856487782796224
2,0,0.88,0.6439212417602539
2,1,0.75,0.7569669961929322
2,2,0.72,0.7745619328816732
3,0,0.9,0.44490489006042483
3,1,0.77,0.602569043636322
3,2,0.72,0.6122290420532227
4,0,0.86,0.42095199584960935
4,1,0.74,0.6127305281162262
4,2,0.7066666666666667,0.6152458445231119
5,0,0.92,0.36574761390686034
5,1,0.81,0.47285299122333524
5,2,0.8066666666666666,0.49761491775512695
6,0,0.94,0.3525184535980225
6,1,0.77,0.5186898297071457
6,2,0.8266666666666667,0.47211854298909506
7,0,0.94,0.27726011276245116
7,1,0.79,0.4676653903722763
7,2,0.8533333333333334,0.41346389134724937
8,0,0.94,0.2721824073791504
8,1,0.83,0.4275338214635849
8,2,0.8533333333333334,0.39754594802856447
9,0,0.92,0.26042054176330565
9,1,0.8,0.41249212980270383
9,2,0.84,0.3941013272603353
10,0,0.92,0.2689682579040527
10,1,0.77,0.4209081655740738
10,2,0.8733333333333333,0.37959885915120445
