round,global_accuracy
0,0.19923371647509577
1,0.5019157088122606
2,0.5019157088122606
3,0.5019157088122606
4,0.5325670498084292
5,0.5095785440613027
6,0.5440613026819924
7,0.5440613026819924
8,0.5555555555555556
9,0.5747126436781609
10,0.632183908045977
0,0.19923371647509577
1,0.5019157088122606
2,0.5057471264367817
3,0.5325670498084292
4,0.524904214559387
5,0.5555555555555556
6,0.5095785440613027
7,0.5593869731800766
8,0.5517241379310345
9,0.6590038314176245
10,0.5708812260536399
0,0.19923371647509577
1,0.5019157088122606
2,0.5019157088122606
3,0.5862068965517241
4,0.5095785440613027
5,0.5517241379310345
6,0.5172413793103449
7,0.578544061302682
8,0.5402298850574713
9,0.5747126436781609
10,0.5632183908045977
0,0.31800766283524906
1,0.5019157088122606
2,0.5019157088122606
3,0.5019157088122606
4,0.5325670498084292
5,0.578544061302682
6,0.5900383141762452
7,0.5708812260536399
8,0.5708812260536399
9,0.6513409961685823
10,0.6091954022988506
