round,client_id,accuracy,loss
0,0,0.23,1.0990236711502075
0,1,0.23,1.0988876390457154
1,0,0.46,1.4171938180923462
1,1,0.47,1.3935039377212524
2,0,0.46,1.4075835466384887
2,1,0.47,1.3823682498931884
3,0,0.46,1.667818477153778
3,1,0.47,1.637544424533844
4,0,0.46,1.8725349378585816
4,1,0.47,1.8329686498641968
5,0,0.46,3.0670959520339967
5,1,0.47,3.0887980604171754
6,0,0.59,1.3136003923416137
6,1,0.53,1.3363912153244017
7,0,0.67,0.8290880107879639
7,1,0.76,0.5382591712474823
8,0,0.66,0.8272586715221405
8,1,0.68,0.7879519844055176
9,0,0.81,0.6217855179309845
9,1,0.79,0.4566462016105652
10,0,0.73,0.7702482050657272
10,1,0.77,0.7356279706954956
