round,client_id,accuracy,loss
0,0,0.0,1.1102139836265927
0,1,0.0,1.1102139836265927
1,0,1.0,0.045274872155416576
1,1,1.0,0.04527487073625837
2,0,1.0,0.00010072675788597691
2,1,1.0,0.00010072675788597691
3,0,1.0,1.0728829346633228e-06
3,1,1.0,1.0728829346633228e-06
4,0,1.0,1.192092224214104e-06
4,1,1.0,1.192092224214104e-06
5,0,1.0,1.5497194215727393e-06
5,1,1.0,1.5497194215727393e-06
6,0,1.0,1.3340079368347125e-06
6,1,1.0,1.3198163547453338e-06
7,0,1.0,2.2848445539802058e-07
7,1,1.0,2.4125686845114356e-07
8,0,1.0,0.0
8,1,1.0,0.0
9,0,1.0,0.0
9,1,1.0,0.0
10,0,1.0,0.0
10,1,1.0,0.0
