round,client_id,accuracy,loss
0,0,0.21,1.0988858079910278
0,1,0.21,1.0992938661575318
1,0,0.5,1.1532887053489684
1,1,0.47,1.2009175658226012
2,0,0.5,1.2075495386123658
2,1,0.47,1.2640006232261658
3,0,0.5,1.0978115725517272
3,1,0.47,1.1395731377601623
4,0,0.5,1.3312557888031007
4,1,0.47,1.4003719544410707
5,0,0.5,2.32611599445343
5,1,0.47,2.5366572284698488
6,0,0.57,1.6104041504859925
6,1,0.5,2.437964344024658
7,0,0.8,0.5145351147651672
7,1,0.75,0.6605442488193511
8,0,0.79,0.638817989230156
8,1,0.79,0.6390665978193283
9,0,0.72,0.7020931720733643
9,1,0.67,0.8824294424057006
10,0,0.72,0.795533517897129
10,1,0.79,0.5276836334168911
