round,client_id,accuracy,loss
0,0,0.23,1.0984795808792114
0,1,0.22,1.0994988298416137
1,0,0.5,1.2340703344345092
1,1,0.44,1.3736911153793334
2,0,0.5,1.1967812228202819
2,1,0.44,1.3284761857986451
3,0,0.5,1.346152014732361
3,1,0.44,1.511701350212097
4,0,0.5,1.5086715912818909
4,1,0.44,1.695954999923706
5,0,0.5,2.338973159790039
5,1,0.44,2.6600136947631836
6,0,0.62,0.875632164478302
6,1,0.58,1.1287428176403045
7,0,0.73,0.7616919143497944
7,1,0.69,1.1072133708000182
8,0,0.62,0.9926667070388794
8,1,0.71,0.79091304063797
9,0,0.7,0.8933410334587097
9,1,0.7,0.7852285072207451
10,0,0.68,1.0083491945266723
10,1,0.75,0.8642870497703552
