round,client_id,accuracy,loss
0,0,0.31,1.097682271003723
0,1,0.31,1.097682271003723
1,0,0.47,1.2613781452178956
1,1,0.47,1.2613781452178956
2,0,0.47,1.2771215415000916
2,1,0.47,1.2771214413642884
3,0,0.47,1.1738388347625732
3,1,0.47,1.1738627290725707
4,0,0.47,1.2430977964401244
4,1,0.47,1.2441383838653564
5,0,0.47,4.038404426574707
5,1,0.47,4.077233190536499
6,0,0.57,1.1488692808151244
6,1,0.57,1.2475856173038482
7,0,0.76,0.7251095795631408
7,1,0.72,0.9612481355667114
8,0,0.55,1.9508318090438843
8,1,0.54,1.9929690742492676
9,0,0.72,0.5952028775215149
9,1,0.73,0.6449852561950684
10,0,0.77,0.5080366253852844
10,1,0.72,0.6097473621368408
