round,client_id,accuracy,loss
0,0,0.22,1.1031887435913086
0,1,0.3,1.0996229887008666
1,0,0.4,1.3964920043945312
1,1,0.49,1.2931960535049438
2,0,0.4,1.3037624740600586
2,1,0.49,1.3195954751968384
3,0,0.4,1.4970501708984374
3,1,0.49,1.4250459480285644
4,0,0.4,1.5175071334838868
4,1,0.49,1.4250349497795105
5,0,0.4,1.6194243621826172
5,1,0.49,1.45207754611969
6,0,0.4,2.1124759674072267
6,1,0.49,1.8935161352157592
7,0,0.52,1.5591465377807616
7,1,0.56,1.1675971269607544
8,0,0.76,0.4861406707763672
8,1,0.79,0.5392233200371266
9,0,0.7,0.6866968345642089
9,1,0.71,0.7281315809488297
10,0,0.58,1.359228630065918
10,1,0.52,2.3756301498413084
