round,client_id,accuracy,loss
0,0,0.21,1.0988858079910278
0,1,0.25,1.0984814500808715
0,2,0.21,1.0992938661575318
1,0,0.5,1.236374988555908
1,1,0.47,1.2815920853614806
1,2,0.47,1.3003639411926269
2,0,0.5,1.258742322921753
2,1,0.47,1.2986592364311218
2,2,0.47,1.3268307852745056
3,0,0.5,1.3814782643318175
3,1,0.47,1.4450336933135985
3,2,0.47,1.4584330558776855
4,0,0.5,1.9258535933494567
4,1,0.47,2.035907802581787
4,2,0.47,2.0409332060813905
5,0,0.5,2.6687616109848022
5,1,0.47,2.800828080177307
5,2,0.47,2.879300231933594
6,0,0.52,1.8469626474380494
6,1,0.47,2.763140501976013
6,2,0.5,2.773331642150879
7,0,0.82,0.46663840174674986
7,1,0.68,0.8711918032169342
7,2,0.67,0.8258294874429702
8,0,0.8,0.4746649074554443
8,1,0.71,0.8086539369821548
8,2,0.76,0.5478776445984841
9,0,0.73,0.7415568113327027
9,1,0.65,0.979070360660553
9,2,0.68,0.7205613934993744
10,0,0.81,0.6420094931125641
10,1,0.74,0.7517293798923492
10,2,0.78,0.5680915558338165
