round,client_id,accuracy,loss
0,0,0.23,1.0984795808792114
0,1,0.22,1.0994988298416137
0,2,0.22,1.0988187074661255
1,0,0.5,1.2513891816139222
1,1,0.44,1.3931348633766174
1,2,0.49,1.279974081516266
2,0,0.5,1.2291399669647216
2,1,0.44,1.3728698134422301
2,2,0.49,1.2604595446586608
3,0,0.5,1.2757885885238647
3,1,0.44,1.4306562423706055
3,2,0.49,1.308977165222168
4,0,0.5,1.5931231236457826
4,1,0.44,1.8062384510040284
4,2,0.49,1.6363577079772949
5,0,0.5,1.9782598400115967
5,1,0.44,2.2461734867095946
5,2,0.49,2.034106209278107
6,0,0.61,0.9691934990882873
6,1,0.63,1.3180215167999267
6,2,0.65,1.1677086806297303
7,0,0.77,0.5549634486436844
7,1,0.7,0.7636905026435852
7,2,0.68,0.8181022763252258
8,0,0.7,1.0279844957590103
8,1,0.72,1.1916077709197999
8,2,0.65,1.330060305595398
9,0,0.77,0.6419363558292389
9,1,0.68,0.7823985028266907
9,2,0.73,0.8437035942077636
10,0,0.79,0.46467857658863065
10,1,0.72,0.805009081363678
10,2,0.77,0.7192816686630249
