round,client_id,accuracy,loss
0,0,0.21,1.0988858079910278
0,1,0.23,1.0990236711502075
0,2,0.23,1.0988876390457154
1,0,0.5,1.3945668506622315
1,1,0.46,1.4900270533561706
1,2,0.47,1.4630461597442628
2,0,0.5,1.5078863072395325
2,1,0.46,1.6121714282035828
2,2,0.47,1.5804051446914673
3,0,0.5,1.522136161327362
3,1,0.46,1.6318844628334046
3,2,0.47,1.6014515161514282
4,0,0.5,2.3244112730026245
4,1,0.46,2.50676486492157
4,2,0.47,2.4592017412185667
5,0,0.5,3.1765916204452513
5,1,0.46,3.38053279876709
5,2,0.47,3.3315731287002563
6,0,0.5,1.8835524320602417
6,1,0.52,1.8257970571517945
6,2,0.48,2.0650301504135133
7,0,0.72,0.6561842918395996
7,1,0.69,0.8555257034301758
7,2,0.74,0.7497923374176025
8,0,0.79,0.5161482882499695
8,1,0.77,0.5537914574146271
8,2,0.78,0.5390234124660492
9,0,0.69,0.8075425815582276
9,1,0.74,0.8421110200881958
9,2,0.79,0.6009370660781861
10,0,0.82,0.4393453025817871
10,1,0.78,0.49912543296813966
10,2,0.82,0.38982385635375977
