round,client_id,accuracy,loss
0,0,0.22,1.09909077167511
0,1,0.22,1.09909077167511
0,2,0.22,1.09909077167511
1,0,0.47,1.472885136604309
1,1,0.47,1.4728850984573365
1,2,0.47,1.4728850984573365
2,0,0.47,1.4625738286972045
2,1,0.47,1.4625737905502318
2,2,0.47,1.4625739526748658
3,0,0.47,1.685227632522583
3,1,0.47,1.6852742958068847
3,2,0.47,1.6852449345588685
4,0,0.47,1.9800581073760986
4,1,0.47,1.9824086761474609
4,2,0.47,1.9814423656463622
5,0,0.47,2.84902916431427
5,1,0.47,2.9090054035186768
5,2,0.47,2.961127610206604
6,0,0.56,0.9789987134933472
6,1,0.56,1.1123841381072999
6,2,0.5,1.3808283925056457
7,0,0.68,0.6145041358470916
7,1,0.72,0.6061002492904664
7,2,0.72,0.6863086152076722
8,0,0.77,0.5034434223175048
8,1,0.8,0.5806332206726075
8,2,0.75,0.5760120224952697
9,0,0.8,0.51184161901474
9,1,0.73,0.6836831533908844
9,2,0.8,0.5324110841751098
10,0,0.77,0.636871337890625
10,1,0.78,0.6123144698143005
10,2,0.82,0.5222336006164551
