round,client_id,accuracy,loss
0,0,1.0,1.0948171579748167
0,1,1.0,1.094817116146996
0,2,1.0,1.094817116146996
1,0,1.0,0.020682152276648616
1,1,1.0,0.020682152538072495
1,2,1.0,0.020682152538072495
2,0,1.0,2.062299253359521e-05
2,1,1.0,2.0622992971246796e-05
2,2,1.0,2.0622992971246796e-05
3,0,1.0,4.768371274307479e-07
3,1,1.0,4.7683712572117134e-07
3,2,1.0,4.7683712572117134e-07
4,0,1.0,1.2763453869274258e-06
4,1,1.0,1.2488585309169832e-06
4,2,1.0,1.2516968689894947e-06
5,0,1.0,2.1287350294125944e-06
5,1,1.0,2.1727289658017636e-06
5,2,1.0,2.127316033043566e-06
6,0,1.0,1.6133586670473319e-07
6,1,1.0,6.386211263513057e-08
6,2,1.0,1.0501769798749939e-07
7,0,1.0,0.0
7,1,1.0,0.0
7,2,1.0,0.0
8,0,1.0,0.0
8,1,1.0,0.0
8,2,1.0,0.0
9,0,1.0,0.0
9,1,1.0,0.0
9,2,1.0,0.0
10,0,1.0,0.0
10,1,1.0,0.0
10,2,1.0,0.0
