round,client_id,accuracy,loss
0,0,0.38,1.0949933242797851
0,1,0.21,1.1015686988830566
0,2,0.31333333333333335,1.0989464441935222
1,0,0.4,1.5487757110595703
1,1,0.49,1.4805659866333007
1,2,0.37333333333333335,1.7093323262532552
2,0,0.4,1.6779778289794922
2,1,0.49,1.5493069505691528
2,2,0.37333333333333335,1.821687215169271
3,0,0.4,1.445719337463379
3,1,0.49,1.4212529897689818
3,2,0.37333333333333335,1.6136551157633463
4,0,0.4,1.8003767395019532
4,1,0.49,1.6157940793037415
4,2,0.37333333333333335,1.9274803415934245
5,0,0.4,2.229022216796875
5,1,0.49,1.9712078475952148
5,2,0.37333333333333335,2.51202392578125
6,0,0.6,1.5834067535400391
6,1,0.54,1.2873682880401611
6,2,0.44,2.0963768513997394
7,0,0.76,0.946429786682129
7,1,0.75,0.7797019290924072
7,2,0.6533333333333333,1.2063907114664714
8,0,0.8,0.7179299545288086
8,1,0.77,0.5548748591542244
8,2,0.7333333333333333,0.6291278839111328
9,0,0.62,1.2110814666748047
9,1,0.73,1.2715136882290243
9,2,0.64,1.1191631189982096
10,0,0.8,0.4924588203430176
10,1,0.8,0.5379800975322724
10,2,0.7866666666666666,0.566013781229655
