round,client_id,accuracy,loss
0,0,0.25,1.1758613586425781
0,1,0.21,1.1992921447753906
1,0,0.47,4.108682546615601
1,1,0.47,4.1861771202087406
2,0,0.47,54.0225373840332
2,1,0.47,49.25445346832275
3,0,0.48,3.927900059223175
3,1,0.44,3.4129238605499266
4,0,0.43,1.8065821933746338
4,1,0.48,1.3606050157546996
5,0,0.4,2.2419964981079104
5,1,0.44,1.7515763854980468
6,0,0.7,0.9236984610557556
6,1,0.67,0.8803869128227234
7,0,0.63,1.3580875039100646
7,1,0.67,1.145749797821045
8,0,0.81,0.4511136853694916
8,1,0.85,0.4161176472902298
9,0,0.8,0.5983748549222946
9,1,0.81,0.5151155316829681
10,0,0.7,0.7804514282941818
10,1,0.78,0.48065372943878176
