round,client_id,accuracy,loss
0,0,0.4,1.0645706057548523
0,1,0.41,1.0627726221084595
1,0,0.47,7.808200702667237
1,1,0.47,7.77969744682312
2,0,0.48,1.2953857624530791
2,1,0.52,1.3339456152915954
3,0,0.53,1.8209759378433228
3,1,0.57,1.8257073545455933
4,0,0.72,0.669244270324707
4,1,0.73,0.85615553855896
5,0,0.74,0.8829496479034424
5,1,0.74,0.8668996357917785
6,0,0.85,0.40423964500427245
6,1,0.81,0.546419243812561
7,0,0.85,0.38378873348236087
7,1,0.85,0.48803004503250125
8,0,0.7,0.9451195812225341
8,1,0.68,0.9529148530960083
9,0,0.69,1.217246217727661
9,1,0.64,1.3403381705284119
10,0,0.84,0.3564522480964661
10,1,0.87,0.31543176412582397
