round,client_id,accuracy,loss
0,0,0.23,1.1822024154663087
0,1,0.22,1.1970890331268311
1,0,0.5,4.341412858963013
1,1,0.44,4.880295791625977
2,0,0.5,11.248851203918457
2,1,0.44,12.613347454071045
3,0,0.59,2.804784960746765
3,1,0.49,3.195413656234741
4,0,0.68,0.8839398562908173
4,1,0.65,0.8929799509048462
5,0,0.86,0.48605120480060576
5,1,0.82,0.5478110361099243
6,0,0.67,0.8874559497833252
6,1,0.69,0.8023775911331177
7,0,0.49,1.8483909034729005
7,1,0.46,1.9402404022216797
8,0,0.88,0.39843987464904784
8,1,0.83,0.5868557333946228
9,0,0.54,1.8546351432800292
9,1,0.55,1.7722840118408203
10,0,0.78,0.8196029758453369
10,1,0.77,0.6546296429634094
