round,client_id,accuracy,loss
0,0,0.21,1.118468737602234
0,1,0.25,1.116793851852417
0,2,0.21,1.1221230554580688
1,0,0.5,4.39609112739563
1,1,0.47,4.704324493408203
1,2,0.47,4.720447664260864
2,0,0.53,1.803058476448059
2,1,0.47,1.9426895380020142
2,2,0.48,1.8606573462486267
3,0,0.5,5.562562713623047
3,1,0.47,6.6151590919494625
3,2,0.47,6.634224843978882
4,0,0.5,2.0587395000457764
4,1,0.46,2.04081711769104
4,2,0.53,1.497147274017334
5,0,0.75,0.6046997952461243
5,1,0.71,0.6843079090118408
5,2,0.82,0.39983477354049685
6,0,0.66,0.9675291180610657
6,1,0.63,0.9769108128547669
6,2,0.75,0.6525736856460571
7,0,0.84,0.4841934821009636
7,1,0.82,0.5628419929742813
7,2,0.87,0.3603222370147705
8,0,0.75,0.9018740504980087
8,1,0.69,0.98131272315979
8,2,0.72,0.9529443836212158
9,0,0.89,0.4233106717467308
9,1,0.8,0.4383392357826233
9,2,0.86,0.35666431188583375
10,0,0.76,0.7388683062791824
10,1,0.78,0.6561557602882385
10,2,0.79,0.5207533846795559
