round,client_id,accuracy,loss
0,0,0.23,1.1822024154663087
0,1,0.22,1.1970890331268311
0,2,0.22,1.190658826828003
1,0,0.5,16.79723268508911
1,1,0.44,18.6304528427124
1,2,0.49,17.072285213470458
2,0,0.5,3.918509449958801
2,1,0.44,4.773448209762574
2,2,0.49,4.168236165046692
3,0,0.5,6.351809854507446
3,1,0.44,8.11799488067627
3,2,0.49,7.1300168800354005
4,0,0.69,1.1854973196983338
4,1,0.57,1.4730599594116212
4,2,0.63,1.3553470993041992
5,0,0.84,0.43312841713428496
5,1,0.81,0.4507819986343384
5,2,0.83,0.37418256521224974
6,0,0.76,0.6994245076179504
6,1,0.75,0.6414908027648926
6,2,0.78,0.5503608900308609
7,0,0.85,0.4960316610336304
7,1,0.79,0.5534276676177978
7,2,0.79,0.49565619707107544
8,0,0.58,1.2922297859191894
8,1,0.53,1.4207671546936036
8,2,0.47,1.5716228246688844
9,0,0.66,1.1445198774337768
9,1,0.63,0.9893898868560791
9,2,0.69,1.0727840602397918
10,0,0.85,0.3596538436412811
10,1,0.87,0.35742653846740724
10,2,0.88,0.3003473198413849
